,time,location,avg_7
173,2021-06-23,TAP,-3.5087745168709605
174,2021-06-24,TAP,-3.526006119492956
175,2021-06-25,TAP,-3.560975690373815
176,2021-06-26,TAP,-3.653849125932016
177,2021-06-27,TAP,-3.585300652355421
178,2021-06-28,TAP,-3.570025633850429
179,2021-06-29,TAP,-3.55365006619596
180,2021-06-30,TAP,-3.530449021152151
181,2021-07-01,TAP,-3.516043417595112
182,2021-07-02,TAP,-3.483286251905441
183,2021-07-03,TAP,-3.205378663899776
184,2021-07-04,TAP,-3.1697042893241205
185,2021-07-05,TAP,-3.17237255556164
186,2021-07-06,TAP,-3.169895000920001
187,2021-07-07,TAP,-3.165128530274098
188,2021-07-08,TAP,-3.1626002825335555
189,2021-07-09,TAP,-3.166168586873231
190,2021-07-10,TAP,-3.2300468878405124
191,2021-07-11,TAP,-3.178569551532479
192,2021-07-12,TAP,-3.1569723118458954
193,2021-07-13,TAP,-3.15699464319325
194,2021-07-14,TAP,-3.139810435815425
195,2021-07-15,TAP,-3.128045773196435
196,2021-07-16,TAP,-3.1510464014329087
197,2021-07-17,TAP,-3.015968038455802
198,2021-07-18,TAP,-2.9889610534210647
199,2021-07-19,TAP,-2.9771040502000563
200,2021-07-20,TAP,-3.01585638170791
201,2021-07-21,TAP,-3.080401890595779
202,2021-07-22,TAP,-3.0969208688197103
203,2021-07-23,TAP,-3.031724358725543
204,2021-07-24,TAP,-3.266985009399379
205,2021-07-25,TAP,-3.246693446842492
206,2021-07-26,TAP,-3.191665426280331
207,2021-07-27,TAP,-3.137266169786215
208,2021-07-28,TAP,-3.042803628013361
209,2021-07-29,TAP,-3.008658526709027
210,2021-07-30,TAP,-2.933390578962736
211,2021-07-31,TAP,-1.9152856058462648
212,2021-08-01,TAP,-1.5504434957455258
213,2021-08-02,TAP,-1.4778673704963947
214,2021-08-03,TAP,-1.4979933795398572
215,2021-08-04,TAP,-1.4965380729688895
216,2021-08-05,TAP,-1.4463731038079346
217,2021-08-06,TAP,-1.4352997706929715
218,2021-08-07,TAP,-1.2974256549229977
219,2021-08-08,TAP,-1.2024170787188166
220,2021-08-09,TAP,-1.1650981935418572
221,2021-08-10,TAP,-1.1450851603442085
222,2021-08-11,TAP,-1.136358408978356
223,2021-08-12,TAP,-1.19558396907529
224,2021-08-13,TAP,-1.1754916925756225
225,2021-08-14,TAP,-1.076909252805253
226,2021-08-15,TAP,-1.1810203500227356
227,2021-01-01,BAC,-0.3588591079106972
228,2021-01-02,BAC,-0.4315603187964447
229,2021-01-03,BAC,-0.6724465850372571
230,2021-01-04,BAC,-0.7756418772286403
231,2021-01-05,BAC,-0.855036867318468
232,2021-01-06,BAC,-0.8878245428803746
233,2021-01-07,BAC,-0.8908030244073765
234,2021-01-08,BAC,-0.7460392097277879
235,2021-01-09,BAC,-0.6168477347558942
236,2021-01-10,BAC,-0.5581183820137184
237,2021-01-11,BAC,-0.5432381638442628
238,2021-01-12,BAC,-0.5039252798807247
239,2021-01-13,BAC,-0.4085471762209624
240,2021-01-14,BAC,-0.3202384446904214
241,2021-01-15,BAC,-0.18143525977188
242,2021-01-16,BAC,-0.0398663632246969
243,2021-01-17,BAC,0.3323881321436668
244,2021-01-18,BAC,0.4224151764941618
245,2021-01-19,BAC,0.3895916263342013
246,2021-01-20,BAC,0.3350405712633307
247,2021-01-21,BAC,0.336229882749147
248,2021-01-22,BAC,0.3236453399890179
249,2021-01-23,BAC,0.3007058294474619
250,2021-01-24,BAC,0.7260936405178253
251,2021-01-25,BAC,1.0539590988527805
252,2021-01-26,BAC,1.0804480119286026
253,2021-01-27,BAC,0.958657402069525
254,2021-01-28,BAC,0.9016917503785288
255,2021-01-29,BAC,0.7823656840734918
256,2021-01-30,BAC,0.6735538409005901
257,2021-01-31,BAC,0.6315433277351176
258,2021-02-01,BAC,0.5689328812650831
259,2021-02-02,BAC,0.5587494574049255
260,2021-02-03,BAC,0.5288444326552025
261,2021-02-04,BAC,0.5231572226014092
262,2021-02-05,BAC,0.5820280916396808
263,2021-02-06,BAC,0.6428303407034791
264,2021-02-07,BAC,0.6796867082763532
265,2021-02-08,BAC,0.6579395813691011
266,2021-02-09,BAC,0.6721792104570529
267,2021-02-10,BAC,0.1509388000372006
268,2021-02-11,BAC,-0.7625205041641037
269,2021-02-12,BAC,-1.684696735185372
270,2021-02-13,BAC,-2.26874183012318
271,2021-02-14,BAC,-2.86998947682093
272,2021-02-15,BAC,-3.169085608230225
273,2021-02-16,BAC,-3.3354471054807755
274,2021-02-17,BAC,-3.4062661895386195
275,2021-02-18,BAC,-3.231871959042793
276,2021-02-19,BAC,-2.949952712254482
277,2021-02-20,BAC,-2.682257535700401
278,2021-02-21,BAC,-2.3247059667889856
279,2021-02-22,BAC,-1.7137983478410943
280,2021-02-23,BAC,-0.6642949305487011
281,2021-02-24,BAC,-0.4042260739158338
282,2021-02-25,BAC,-0.3219063150644571
283,2021-02-26,BAC,-0.2528621304512709
284,2021-02-27,BAC,-0.2590491069774024
285,2021-02-28,BAC,-0.449856351372859
286,2021-03-01,BAC,-0.566994564175297
287,2021-03-02,BAC,-0.6007567992987093
288,2021-03-03,BAC,-0.6769599433487602
289,2021-03-04,BAC,-0.7597544952555302
290,2021-03-05,BAC,-0.6667178516874805
291,2021-03-06,BAC,-0.5926213973975675
292,2021-03-07,BAC,-0.6153321826982081
293,2021-03-08,BAC,-0.4730849395816829
294,2021-03-09,BAC,-0.4298040503098276
295,2021-03-10,BAC,-0.422807814750589
296,2021-03-11,BAC,-0.4397458658583967
297,2021-03-12,BAC,-0.4993339290867578
298,2021-03-13,BAC,-0.4974786586539181
299,2021-03-14,BAC,-0.1696218221357259
300,2021-03-15,BAC,-0.0531583882291382
301,2021-03-16,BAC,-0.0531583882291382
302,2021-03-17,BAC,-0.0155691685399364
303,2021-03-18,BAC,0.0254372529391928
304,2021-03-19,BAC,0.0254372529391928
305,2021-03-20,BAC,0.1952077266089002
306,2021-03-21,BAC,0.0803143504031162
307,2021-03-22,BAC,-0.1511750568982901
308,2021-03-23,BAC,-0.2117605720105123
309,2021-03-24,BAC,-0.2598924567913075
310,2021-03-25,BAC,-0.2614344688500355
311,2021-03-26,BAC,-0.2139257313565782
312,2021-03-27,BAC,-0.2562479172226654
313,2021-03-28,BAC,-0.3179747789075487
314,2021-03-29,BAC,-0.1623804105706244
315,2021-03-30,BAC,-0.1602259541333081
316,2021-03-31,BAC,-0.186079431381104
317,2021-04-01,BAC,-0.2112772562329752
318,2021-04-02,BAC,-0.3676271708739279
319,2021-04-03,BAC,-0.4855340112363859
320,2021-04-04,BAC,-0.5910599615200205
321,2021-04-05,BAC,-0.7843834801648472
322,2021-04-06,BAC,-0.870633585987177
323,2021-04-07,BAC,-0.8385768796206348
324,2021-04-08,BAC,-0.8112807886205785
325,2021-04-09,BAC,-0.7944356942774059
326,2021-04-10,BAC,-0.7952154211986536
327,2021-04-11,BAC,-0.5977532452120877
328,2021-04-12,BAC,-0.3520304521831374
329,2021-04-13,BAC,-0.2755347618778451
330,2021-04-14,BAC,-0.2837712468418755
331,2021-04-15,BAC,-0.2643908508193363
332,2021-04-16,BAC,-0.2109254476037597
333,2021-04-17,BAC,-0.1887012483352289
334,2021-04-18,BAC,0.1742894807285052
335,2021-04-19,BAC,0.241250363428908
336,2021-04-20,BAC,0.1510325496002738
337,2021-04-21,BAC,0.1510325496002738
338,2021-04-22,BAC,0.0645733406243021
339,2021-04-23,BAC,-0.0282539024764022
340,2021-04-24,BAC,0.17675174495718
341,2021-04-25,BAC,0.4441145366463049
342,2021-04-26,BAC,0.4668602055443542
343,2021-04-27,BAC,0.4876385207670822
344,2021-04-28,BAC,0.4601610748885008
345,2021-04-29,BAC,0.3882691230267707
346,2021-04-30,BAC,0.3435025110942117
347,2021-05-01,BAC,0.29027940987067
348,2021-05-02,BAC,0.218089461212504
349,2021-05-03,BAC,0.2492545556019375
350,2021-05-04,BAC,0.2968535741458291
351,2021-05-05,BAC,0.3107538813383775
352,2021-05-06,BAC,0.3251865592636099
353,2021-05-07,BAC,0.3503281937951696
354,2021-05-08,BAC,0.424844737371779
355,2021-05-09,BAC,0.2471194238667429
356,2021-05-10,BAC,0.1652874403022764
357,2021-05-11,BAC,0.1422597298594263
358,2021-05-12,BAC,0.1126691526489962
359,2021-05-13,BAC,0.0458058844715798
360,2021-05-14,BAC,0.04055937672875
361,2021-05-15,BAC,-0.0008106464381498
362,2021-05-16,BAC,-0.3644365140253058
363,2021-05-17,BAC,-0.4979369018133819
364,2021-05-18,BAC,-0.6141967821592627
365,2021-05-19,BAC,-0.7956861510984194
366,2021-05-20,BAC,-1.0079527329286977
367,2021-05-21,BAC,-1.0454290765704977
368,2021-05-22,BAC,-1.0347189307457283
369,2021-05-23,BAC,-0.6583505533386999
370,2021-05-24,BAC,-0.6082466570969636
371,2021-05-25,BAC,-0.6274268690443631
372,2021-05-26,BAC,-0.6689775534106437
373,2021-05-27,BAC,-0.6824796726550973
374,2021-05-28,BAC,-0.8371011661336872
375,2021-05-29,BAC,-1.221772227993608
376,2021-05-30,BAC,-1.712717254700198
377,2021-05-31,BAC,-1.9272182675190848
378,2021-06-01,BAC,-2.141911635459734
379,2021-06-02,BAC,-2.2810688092889104
380,2021-06-03,BAC,-2.4455062600046658
381,2021-06-04,BAC,-2.619897418394872
382,2021-06-05,BAC,-2.6751875689515696
383,2021-06-06,BAC,-3.1496406973934223
384,2021-06-07,BAC,-3.239760797586285
385,2021-06-08,BAC,-3.241747674185425
386,2021-06-09,BAC,-3.201422770534309
387,2021-06-10,BAC,-3.2056751958191017
388,2021-06-11,BAC,-3.246310682105453
389,2021-06-12,BAC,-3.0884707835187064
390,2021-06-13,BAC,-2.4519135381727533
391,2021-06-14,BAC,-2.4233134757884462
392,2021-06-15,BAC,-2.454369063545896
393,2021-06-16,BAC,-2.4338937992888505
394,2021-06-17,BAC,-2.4031766415545475
