time,google
2021-03-04,-17.0
2021-03-05,-9.0
2021-03-06,-23.0
2021-03-07,-17.0
2021-03-08,-15.0
2021-03-09,-15.0
2021-03-10,-13.0
2021-03-11,-14.0
2021-03-12,-7.0
2021-03-13,-14.0
2021-03-14,-8.0
2021-03-15,-13.0
2021-03-16,-14.0
2021-03-17,-12.0
2021-03-18,-14.0
2021-03-19,-6.0
2021-03-20,-11.0
2021-03-21,-13.0
2021-03-22,-18.0
2021-03-23,-15.0
2021-03-24,-15.0
2021-03-25,-13.0
2021-03-26,-6.0
2021-03-27,-10.0
2021-03-28,-6.0
2021-03-29,-12.0
2021-03-30,-12.0
2021-03-31,-7.0
2021-04-01,2.0
2021-04-02,-7.0
2021-04-03,-12.0
2021-04-04,-10.0
2021-04-05,-9.0
2021-04-06,-8.0
2021-04-07,-10.0
2021-04-08,-16.0
2021-04-09,-9.0
2021-04-10,-13.0
2021-04-11,-7.0
2021-04-12,-11.0
2021-04-13,-12.0
2021-04-14,-11.0
2021-04-15,-13.0
2021-04-16,-5.0
2021-04-17,-10.0
2021-04-18,-6.0
2021-04-19,-11.0
2021-04-20,-11.0
2021-04-21,-9.0
2021-04-22,-12.0
2021-04-23,-5.0
2021-04-24,-9.0
2021-04-25,-8.0
2021-04-26,-12.0
2021-04-27,-13.0
2021-04-28,-12.0
2021-04-29,-10.0
2021-04-30,-3.0
2021-05-01,-11.0
2021-05-02,-6.0
2021-05-03,-13.0
2021-05-04,-13.0
2021-05-05,-13.0
2021-05-06,-13.0
2021-05-07,-3.0
2021-05-08,-16.0
2021-05-09,-12.0
2021-05-10,-12.0
2021-05-11,-13.0
2021-05-12,-14.0
2021-05-13,-18.0
2021-05-14,-17.0
2021-05-15,-44.0
2021-05-16,-50.0
2021-05-17,-40.0
2021-05-18,-47.0
2021-05-19,-51.0
2021-05-20,-56.0
2021-05-21,-56.0
2021-05-22,-68.0
2021-05-23,-70.0
2021-05-24,-57.0
2021-05-25,-56.0
2021-05-26,-56.0
2021-05-27,-58.0
2021-05-28,-57.0
2021-05-29,-68.0
2021-05-30,-73.0
2021-05-31,-59.0
2021-06-01,-57.0
2021-06-02,-56.0
2021-06-03,-58.0
2021-06-04,-59.0
2021-06-05,-71.0
2021-06-06,-73.0
2021-06-07,-57.0
2021-06-08,-56.0
2021-06-09,-55.0
2021-06-10,-57.0
2021-06-11,-56.0
2021-06-12,-66.0
2021-06-13,-67.0
2021-06-14,-67.0
2021-06-15,-55.0
2021-06-16,-55.0
2021-06-17,-56.0
2021-06-18,-56.0
2021-06-19,-65.0
2021-06-20,-67.0
2021-06-21,-56.0
2021-06-22,-58.0
2021-06-23,-56.0
2021-06-24,-56.0
2021-06-25,-55.0
2021-06-26,-62.0
2021-06-27,-64.0
2021-06-28,-54.0
2021-06-29,-54.0
2021-06-30,-52.0
2021-07-01,-53.0
2021-07-02,-52.0
2021-07-03,-60.0
2021-07-04,-61.0
2021-07-05,-50.0
2021-07-06,-51.0
2021-07-07,-50.0
2021-07-08,-51.0
2021-07-09,-49.0
2021-07-10,-57.0
2021-07-11,-58.0
2021-07-12,-48.0
2021-07-13,-47.0
2021-07-14,-45.0
2021-07-15,-47.0
2021-07-16,-46.0
2021-07-17,-54.0
2021-07-18,-53.0
2021-07-19,-46.0
2021-07-20,-46.0
2021-07-21,-46.0
2021-07-22,-52.0
2021-07-23,-54.0
2021-07-24,-61.0
2021-07-25,-54.0
2021-07-26,-45.0
2021-07-27,-41.0
2021-07-28,-41.0
2021-07-29,-43.0
2021-07-30,-41.0
2021-07-31,-53.0
2021-08-01,-51.0
2021-08-02,-41.0
